workerid,proliferate.condition,chance,id,error
31,Main,0,51,
31,Main,82,18,
31,Main,91,19,
31,Main,92,10,
31,Main,100,50,
31,Main,79,34,
31,Main,11,52,
49,Main,50,13,
49,Main,50,20,
49,Main,100,26,
49,Main,50,11,
49,Main,100,1,
49,Main,100,48,
49,Main,100,21,
49,Main,99,41,
49,Main,100,7,
49,Main,100,6,
49,Main,51,45,
49,Main,78,35,
49,Main,100,49,
49,Main,74,34,
49,Main,77,8,
49,Main,72,40,
49,Main,72,30,
49,Main,0,52,
49,Main,74,47,
49,Main,69,2,
49,Main,65,44,
49,Main,69,24,
49,Main,65,22,
49,Main,62,46,
49,Main,63,29,
49,Main,65,27,
49,Main,0,53,
49,Main,66,18,
49,Main,63,36,
49,Main,63,5,
49,Main,66,12,
49,Main,70,43,
49,Main,65,3,
49,Main,69,33,
49,Main,71,37,
49,Main,0,51,
49,Main,63,25,
49,Main,62,19,
49,Main,75,28,
49,Main,68,9,
49,Main,67,17,
49,Main,67,23,
49,Main,67,4,
49,Main,65,16,
49,Main,72,14,
49,Main,68,42,
49,Main,67,32,
49,Main,67,10,
49,Main,76,38,
49,Main,67,39,
49,Main,70,15,
49,Main,76,31,
49,Main,77,50,
56,Main,100,45,
56,Main,83,28,
56,Main,100,13,
56,Main,97,15,
56,Main,1,52,
56,Main,100,3,
56,Main,100,2,
56,Main,100,36,
56,Main,100,10,
56,Main,100,5,
56,Main,100,23,
56,Main,100,19,
56,Main,100,16,
56,Main,100,6,
56,Main,100,29,
56,Main,100,50,
56,Main,72,44,
56,Main,100,17,
56,Main,97,8,
56,Main,92,46,
56,Main,96,26,
56,Main,77,21,
56,Main,2,4,
56,Main,13,27,
56,Main,0,51,
56,Main,100,42,
56,Main,91,12,
56,Main,6,32,
56,Main,0,53,
56,Main,100,25,
56,Main,100,43,
56,Main,100,38,
56,Main,85,18,
56,Main,100,14,
56,Main,74,11,
56,Main,100,41,
56,Main,100,1,
56,Main,96,30,
56,Main,100,48,
56,Main,92,33,
56,Main,100,7,
56,Main,89,47,
56,Main,4,34,
56,Main,98,20,
56,Main,100,24,
56,Main,92,22,
56,Main,96,31,
56,Main,99,37,
56,Main,1,49,
56,Main,88,40,
56,Main,96,9,
56,Main,98,39,
56,Main,97,35,
60,Main,77,33,
60,Main,66,15,
60,Main,78,24,
60,Main,89,9,
60,Main,100,11,
60,Main,65,28,
60,Main,100,46,
60,Main,51,30,
60,Main,100,50,
60,Main,52,27,
60,Main,66,41,
60,Main,54,17,
60,Main,45,25,
60,Main,0,51,
60,Main,100,23,
60,Main,64,38,
60,Main,100,26,
60,Main,100,20,
60,Main,100,48,
60,Main,74,31,
60,Main,90,37,
60,Main,100,22,
60,Main,48,10,
60,Main,100,49,
60,Main,73,7,
60,Main,100,45,
60,Main,100,14,
60,Main,52,2,
60,Main,100,3,
60,Main,83,12,
60,Main,100,5,
60,Main,88,42,
60,Main,64,16,
60,Main,0,52,
60,Main,52,36,
60,Main,0,53,
60,Main,100,21,
60,Main,100,29,
60,Main,65,19,
60,Main,40,6,
60,Main,79,4,
60,Main,0,8,
60,Main,42,44,
60,Main,38,32,
60,Main,20,13,
60,Main,89,1,
60,Main,30,47,
60,Main,19,39,
60,Main,26,34,
60,Main,57,18,
60,Main,67,35,
60,Main,100,43,
60,Main,100,40,
43,Main,0,13,
43,Main,83,22,
43,Main,85,23,
43,Main,100,50,
43,Main,77,15,
43,Main,78,24,
43,Main,67,11,
43,Main,100,12,
43,Main,48,35,
43,Main,86,46,
43,Main,23,26,
43,Main,0,53,
43,Main,100,33,
43,Main,10,10,
43,Main,10,42,
43,Main,63,39,
43,Main,74,31,
43,Main,56,3,
43,Main,57,5,
43,Main,63,25,
43,Main,17,18,
43,Main,19,28,
43,Main,12,1,
43,Main,56,41,
43,Main,17,27,
43,Main,23,37,
43,Main,39,2,
43,Main,75,38,
43,Main,19,6,
43,Main,53,32,
43,Main,64,7,
43,Main,34,47,
43,Main,0,52,
43,Main,66,29,
43,Main,62,17,
43,Main,0,8,
43,Main,17,20,
43,Main,51,19,
43,Main,50,45,
43,Main,0,48,
43,Main,54,4,
43,Main,57,44,
43,Main,65,40,
43,Main,73,51,
43,Main,81,14,
43,Main,16,21,
43,Main,59,16,
43,Main,50,34,
43,Main,99,9,
43,Main,82,30,
43,Main,48,43,
43,Main,100,49,
43,Main,51,36,
38,Main,70,37,
38,Main,59,12,
38,Main,67,43,
38,Main,77,40,
38,Main,10,27,
38,Main,0,52,
38,Main,78,22,
38,Main,50,19,
38,Main,34,11,
38,Main,23,2,
38,Main,13,41,
38,Main,41,10,
38,Main,12,23,
38,Main,91,30,
38,Main,8,39,
38,Main,100,49,
38,Main,71,7,
38,Main,3,8,
38,Main,7,20,
38,Main,2,13,
38,Main,61,28,
38,Main,39,44,
38,Main,1,4,
38,Main,78,33,
38,Main,61,16,
38,Main,71,45,
38,Main,5,25,
38,Main,0,53,
38,Main,57,21,
38,Main,1,32,
38,Main,59,5,
38,Main,67,35,
38,Main,100,48,
38,Main,93,18,
38,Main,68,26,
38,Main,2,3,
38,Main,92,17,
38,Main,0,51,
38,Main,92,42,
38,Main,92,46,
38,Main,5,36,
38,Main,96,9,
38,Main,100,38,
38,Main,68,24,
38,Main,3,6,
38,Main,27,1,
38,Main,3,47,
38,Main,100,50,
38,Main,86,14,
38,Main,26,31,
38,Main,6,34,
38,Main,2,15,
38,Main,0,29,
58,Main,50,37,
58,Main,100,24,
58,Main,50,45,
58,Main,49,32,
58,Main,67,39,
58,Main,49,30,
58,Main,71,1,
58,Main,49,25,
58,Main,50,29,
58,Main,67,26,
58,Main,46,31,
58,Main,100,22,
58,Main,12,27,
58,Main,49,13,
58,Main,50,20,
58,Main,62,38,
58,Main,57,47,
58,Main,71,15,
58,Main,67,33,
58,Main,77,17,
58,Main,51,3,
58,Main,64,35,
58,Main,100,48,
58,Main,84,5,
58,Main,78,36,
58,Main,80,12,
58,Main,86,9,
58,Main,50,42,
58,Main,50,28,
58,Main,52,19,
58,Main,78,16,
58,Main,83,23,
58,Main,50,18,
58,Main,0,53,
58,Main,0,51,
58,Main,50,14,
58,Main,100,46,
58,Main,52,7,
58,Main,53,40,
58,Main,100,50,
58,Main,84,41,
58,Main,0,8,
58,Main,50,44,
58,Main,49,6,
58,Main,53,4,
58,Main,100,49,
58,Main,50,43,
58,Main,5,52,
58,Main,30,34,
58,Main,30,2,
58,Main,66,21,
58,Main,84,11,
58,Main,53,10,
24,Main,100,10,
24,Main,0,51,
24,Main,100,48,
24,Main,0,53,
24,Main,100,33,
24,Main,100,18,
24,Main,6,8,
24,Main,88,6,
24,Main,100,49,
24,Main,64,17,
24,Main,100,40,
24,Main,100,24,
24,Main,56,5,
24,Main,96,27,
24,Main,24,25,
24,Main,83,41,
24,Main,88,39,
24,Main,62,26,
24,Main,50,23,
24,Main,100,46,
24,Main,76,20,
24,Main,70,1,
24,Main,67,43,
24,Main,100,50,
24,Main,74,16,
24,Main,44,12,
24,Main,54,34,
24,Main,100,9,
24,Main,41,4,
24,Main,49,19,
24,Main,97,7,
24,Main,74,3,
24,Main,16,2,
24,Main,67,21,
24,Main,97,14,
24,Main,55,30,
24,Main,76,11,
24,Main,84,45,
24,Main,59,15,
24,Main,38,47,
24,Main,85,28,
24,Main,66,31,
24,Main,45,36,
24,Main,78,37,
24,Main,92,22,
24,Main,95,38,
24,Main,54,13,
24,Main,84,42,
24,Main,28,32,
24,Main,91,35,
24,Main,0,52,
24,Main,37,44,
24,Main,2,29,
26,Main,79,27,
26,Main,76,17,
26,Main,59,16,
26,Main,91,10,
26,Main,85,40,
26,Main,89,31,
26,Main,96,41,
26,Main,100,5,
26,Main,100,22,
26,Main,26,15,
26,Main,100,50,
26,Main,50,44,
26,Main,50,30,
26,Main,54,39,
26,Main,86,24,
26,Main,100,48,
26,Main,0,53,
26,Main,57,6,
26,Main,0,25,
26,Main,75,12,
26,Main,28,34,
26,Main,50,45,
26,Main,50,7,
26,Main,50,14,
26,Main,86,35,
26,Main,59,11,
26,Main,81,43,
26,Main,33,23,
26,Main,74,19,
26,Main,24,47,
26,Main,23,36,
26,Main,50,42,
26,Main,50,28,
26,Main,0,13,
26,Main,100,49,
26,Main,28,1,
26,Main,50,37,
26,Main,4,32,
26,Main,100,46,
26,Main,1,4,
26,Main,82,29,
26,Main,0,8,
26,Main,50,18,
26,Main,0,21,
26,Main,100,38,
26,Main,0,52,
26,Main,50,20,
26,Main,0,51,
26,Main,86,33,
26,Main,91,26,
26,Main,73,3,
26,Main,100,9,
26,Main,14,2,
40,Main,50,14,
40,Main,0,8,
40,Main,100,43,
40,Main,100,36,
40,Main,24,25,
40,Main,50,39,
40,Main,50,40,
40,Main,22,41,
40,Main,100,49,
40,Main,78,46,
40,Main,100,50,
40,Main,24,44,
40,Main,100,45,
40,Main,50,23,
40,Main,100,1,
40,Main,100,20,
40,Main,79,33,
40,Main,100,9,
40,Main,100,35,
40,Main,50,6,
40,Main,25,24,
40,Main,24,47,
40,Main,0,52,
40,Main,80,10,
40,Main,77,11,
40,Main,50,15,
40,Main,75,27,
40,Main,50,18,
40,Main,100,42,
40,Main,0,51,
40,Main,23,2,
40,Main,50,19,
40,Main,75,28,
40,Main,100,13,
40,Main,0,29,
40,Main,20,32,
40,Main,77,12,
40,Main,78,37,
40,Main,100,26,
40,Main,100,3,
40,Main,0,53,
40,Main,22,31,
40,Main,100,30,
40,Main,81,34,
40,Main,81,17,
40,Main,100,48,
40,Main,100,5,
40,Main,80,7,
40,Main,76,22,
40,Main,80,38,
40,Main,21,4,
40,Main,24,16,
40,Main,100,21,
51,Main,75,3,
51,Main,72,7,
51,Main,75,27,
51,Main,100,50,
51,Main,0,8,
51,Main,52,10,
51,Main,0,51,
51,Main,73,5,
51,Main,22,31,
51,Main,100,18,
51,Main,76,22,
51,Main,100,35,
51,Main,100,48,
51,Main,75,44,
51,Main,50,28,
51,Main,0,52,
51,Main,78,24,
51,Main,78,25,
51,Main,100,17,
51,Main,78,23,
51,Main,78,1,
51,Main,100,37,
51,Main,100,14,
51,Main,0,19,
51,Main,76,13,
51,Main,100,42,
51,Main,100,26,
51,Main,100,49,
51,Main,31,12,
51,Main,51,41,
51,Main,75,43,
51,Main,0,53,
51,Main,100,16,
51,Main,23,2,
51,Main,77,15,
51,Main,100,30,
51,Main,100,11,
51,Main,22,47,
51,Main,76,40,
51,Main,79,46,
51,Main,0,4,
51,Main,76,29,
51,Main,51,45,
51,Main,77,39,
51,Main,100,36,
51,Main,100,38,
51,Main,22,6,
51,Main,100,33,
51,Main,79,34,
51,Main,100,32,
51,Main,20,9,
51,Main,75,21,
51,Main,100,20,
45,Main,70,1,
45,Main,85,31,
45,Main,77,40,
45,Main,47,36,
45,Main,100,48,
45,Main,74,34,
45,Main,77,11,
45,Main,79,37,
45,Main,22,27,
45,Main,77,30,
45,Main,82,4,
45,Main,74,24,
45,Main,53,19,
45,Main,85,38,
45,Main,56,22,
45,Main,43,47,
45,Main,73,17,
45,Main,100,50,
45,Main,97,46,
45,Main,79,12,
45,Main,52,26,
45,Main,71,20,
45,Main,76,35,
45,Main,78,42,
45,Main,47,2,
45,Main,84,16,
45,Main,85,32,
45,Main,0,51,
45,Main,19,45,
45,Main,75,5,
45,Main,64,21,
45,Main,0,53,
45,Main,100,23,
45,Main,100,3,
45,Main,100,6,
45,Main,58,28,
45,Main,72,15,
45,Main,77,39,
45,Main,93,14,
45,Main,75,9,
45,Main,23,44,
45,Main,0,8,
45,Main,78,13,
45,Main,89,7,
45,Main,19,41,
45,Main,73,25,
45,Main,0,52,
45,Main,73,33,
45,Main,33,29,
45,Main,87,18,
45,Main,100,49,
45,Main,85,43,
45,Main,76,10,
48,Main,50,36,
48,Main,54,25,
48,Main,100,50,
48,Main,50,10,
48,Main,66,28,
48,Main,1,33,
48,Main,100,9,
48,Main,0,8,
48,Main,100,22,
48,Main,54,2,
48,Main,62,40,
48,Main,82,17,
48,Main,76,18,
48,Main,76,43,
48,Main,70,13,
48,Main,100,11,
48,Main,100,21,
48,Main,0,27,
48,Main,100,48,
48,Main,100,49,
48,Main,100,24,
48,Main,82,41,
48,Main,73,30,
48,Main,100,42,
48,Main,50,37,
48,Main,0,51,
48,Main,100,14,
48,Main,71,44,
48,Main,75,35,
48,Main,71,7,
48,Main,73,19,
48,Main,52,26,
48,Main,100,12,
48,Main,50,20,
48,Main,50,15,
48,Main,0,53,
48,Main,76,47,
48,Main,0,39,
48,Main,79,31,
48,Main,99,4,
48,Main,67,34,
48,Main,100,46,
48,Main,0,52,
48,Main,100,5,
48,Main,64,6,
48,Main,0,29,
48,Main,96,3,
48,Main,0,32,
48,Main,81,38,
48,Main,72,45,
48,Main,100,23,
48,Main,49,16,
48,Main,100,1,
35,Main,86,20,
35,Main,77,46,
35,Main,74,2,
35,Main,67,34,
35,Main,70,23,
35,Main,58,41,
35,Main,51,44,
35,Main,82,11,
35,Main,93,22,
35,Main,52,26,
35,Main,60,33,
35,Main,100,7,
35,Main,63,16,
35,Main,81,36,
35,Main,53,27,
35,Main,54,4,
35,Main,100,49,
35,Main,100,42,
35,Main,60,29,
35,Main,74,1,
35,Main,100,50,
35,Main,36,8,
35,Main,78,24,
35,Main,71,40,
35,Main,90,17,
35,Main,37,19,
35,Main,74,31,
35,Main,62,28,
35,Main,57,39,
35,Main,69,38,
35,Main,77,35,
35,Main,95,30,
35,Main,75,13,
35,Main,69,18,
35,Main,70,21,
35,Main,68,5,
35,Main,69,12,
35,Main,0,53,
35,Main,4,52,
35,Main,73,10,
35,Main,77,37,
35,Main,78,25,
35,Main,67,15,
35,Main,30,47,
35,Main,40,6,
35,Main,74,14,
