workerid,proliferate.condition,chance,id,error
84,Main,0,29,
84,Main,0,39,
84,Main,90,26,
99,Main,11,35,
99,Main,31,1,
99,Main,0,43,
99,Main,29,21,
99,Main,58,11,
99,Main,27,42,
99,Main,28,51,
99,Main,71,45,
99,Main,36,6,
99,Main,13,48,
99,Main,31,29,
99,Main,40,19,
99,Main,72,46,
99,Main,67,14,
99,Main,36,32,
99,Main,36,30,
99,Main,60,16,
99,Main,39,52,
99,Main,54,41,
99,Main,66,39,
99,Main,65,22,
99,Main,42,23,
99,Main,70,24,
99,Main,57,4,
99,Main,42,34,
99,Main,65,9,
99,Main,76,33,
99,Main,21,36,
99,Main,79,12,
99,Main,74,15,
99,Main,73,25,
99,Main,16,49,
99,Main,71,28,
99,Main,69,27,
99,Main,61,26,
99,Main,21,38,
99,Main,3,10,
99,Main,84,7,
99,Main,72,44,
99,Main,97,20,
99,Main,98,50,
99,Main,7,53,
99,Main,56,40,
99,Main,8,31,
99,Main,12,2,
99,Main,20,13,
99,Main,20,47,
99,Main,65,5,
99,Main,32,17,
99,Main,24,18,
99,Main,62,3,
99,Main,13,8,
99,Main,87,37,
115,Main,56,13,
115,Main,37,43,
115,Main,41,21,
115,Main,29,36,
115,Main,29,6,
115,Main,94,18,
115,Main,74,3,
115,Main,31,32,
115,Main,65,24,
115,Main,71,29,
115,Main,69,9,
115,Main,32,25,
115,Main,79,40,
115,Main,89,20,
115,Main,91,17,
115,Main,83,35,
115,Main,100,38,
115,Main,0,51,
115,Main,69,23,
115,Main,72,22,
115,Main,82,12,
115,Main,100,11,
115,Main,14,47,
115,Main,100,33,
115,Main,62,16,
115,Main,96,30,
115,Main,96,45,
115,Main,100,50,
115,Main,31,52,
115,Main,100,46,
115,Main,38,4,
115,Main,26,34,
115,Main,0,53,
115,Main,76,39,
115,Main,79,27,
115,Main,40,19,
115,Main,100,48,
115,Main,100,5,
115,Main,82,28,
115,Main,90,42,
115,Main,70,1,
115,Main,64,41,
115,Main,100,37,
115,Main,40,8,
115,Main,44,2,
115,Main,100,15,
115,Main,64,14,
115,Main,100,49,
115,Main,100,26,
115,Main,73,31,
115,Main,88,7,
115,Main,60,44,
115,Main,32,10,
82,Main,16,13,
82,Main,63,4,
82,Main,85,50,
82,Main,71,22,
82,Main,88,51,
82,Main,74,35,
82,Main,63,31,
82,Main,34,28,
82,Main,63,27,
82,Main,34,16,
82,Main,64,45,
82,Main,39,15,
82,Main,56,20,
82,Main,59,23,
82,Main,44,25,
82,Main,58,34,
82,Main,42,33,
82,Main,42,47,
82,Main,54,41,
82,Main,43,19,
82,Main,44,37,
82,Main,48,1,
82,Main,48,36,
82,Main,55,2,
82,Main,46,46,
82,Main,48,14,
82,Main,63,42,
82,Main,58,21,
82,Main,64,10,
82,Main,45,53,
82,Main,45,39,
82,Main,55,44,
82,Main,41,49,
82,Main,55,26,
82,Main,46,38,
82,Main,60,3,
82,Main,45,12,
82,Main,46,9,
82,Main,44,48,
82,Main,57,8,
82,Main,44,6,
82,Main,41,17,
82,Main,53,40,
82,Main,54,29,
82,Main,43,5,
82,Main,45,32,
82,Main,46,43,
82,Main,44,11,
82,Main,57,18,
82,Main,47,24,
82,Main,54,7,
82,Main,47,30,
82,Main,54,52,
73,Main,8,6,
73,Main,100,15,
73,Main,22,30,
73,Main,100,49,
73,Main,5,43,
73,Main,8,27,
73,Main,100,48,
73,Main,0,44,
73,Main,3,22,
73,Main,0,52,
73,Main,39,10,
73,Main,9,32,
73,Main,78,8,
73,Main,100,5,
73,Main,0,4,
73,Main,22,21,
73,Main,2,29,
73,Main,26,16,
73,Main,0,53,
73,Main,17,41,
73,Main,45,42,
73,Main,80,17,
73,Main,100,20,
73,Main,91,39,
73,Main,7,13,
73,Main,9,1,
73,Main,80,38,
73,Main,1,34,
73,Main,51,40,
73,Main,33,24,
73,Main,100,9,
73,Main,22,12,
73,Main,0,28,
73,Main,27,47,
73,Main,12,25,
73,Main,100,18,
73,Main,49,37,
73,Main,100,50,
73,Main,91,23,
73,Main,52,7,
73,Main,3,2,
73,Main,21,11,
73,Main,97,33,
73,Main,66,14,
73,Main,49,19,
73,Main,1,36,
73,Main,100,46,
73,Main,100,26,
73,Main,100,45,
73,Main,37,31,
73,Main,17,3,
73,Main,0,51,
73,Main,51,35,
111,Main,100,48,
111,Main,100,46,
111,Main,100,26,
111,Main,17,36,
111,Main,15,8,
111,Main,6,44,
